Line,Timestamp,Passengers,Gone_up,Went_down
6,1542865574,0,0,0
6,1542865931,0,0,0
6,1542865947,1,1,0
6,1542865981,2,1,0
6,1542866030,2,0,0
6,1542866082,2,0,0
6,1542866093,2,0,0
6,1542866117,3,1,0
6,1542866181,3,0,0
6,1542866277,3,0,0
6,1542866291,3,0,0
6,1542866322,4,1,0
6,1542866378,4,0,0
6,1542866386,5,1,0
6,1542866458,5,0,0
6,1542866511,5,0,0
6,1542866615,7,4,2
6,1542866737,9,3,1
6,1542866791,10,1,0
6,1542866838,14,4,0
6,1542866879,15,1,0
6,1542866936,17,2,0
6,1542866993,17,0,0
6,1542867019,18,2,1
6,1542867078,19,1,0
6,1542867174,19,0,0
6,1542867212,19,0,0
6,1542867250,20,1,0
6,1542867347,20,0,0
6,1542867378,20,0,0
6,1542867405,21,1,0
6,1542867450,21,0,0
6,1542867539,21,0,0
6,1542867560,21,0,0
6,1542867644,21,0,0
6,1542867685,21,0,0
6,1542867746,21,0,0
6,1542867785,21,0,0
6,1542867974,8,0,13
6,1542868041,0,0,8
6,1542868162,2,2,0
6,1542868284,4,2,0
6,1542868405,5,1,0
6,1542868527,5,0,0
6,1542868649,5,0,0
6,1542868770,5,0,0
6,1542868892,5,0,0
6,1542869014,7,2,0
6,1542869135,8,1,0
6,1542869257,9,1,0
6,1542869379,11,2,0
6,1542869500,13,2,0
6,1542869622,16,3,0
6,1542869744,15,0,1
6,1542869865,14,0,1
6,1542869987,14,1,1
6,1542870109,15,1,0
6,1542870230,16,1,0
6,1542870352,17,2,1
6,1542870474,16,0,1
6,1542870595,14,0,2
6,1542870717,14,0,0
6,1542870839,14,1,1
6,1542870960,12,0,2
6,1542871082,8,3,7
6,1542871204,11,3,0
6,1542871325,11,0,0
6,1542871447,11,0,0
6,1542871569,11,0,0
6,1542871690,11,0,0
6,1542871812,11,0,0
6,1542871934,13,3,1
6,1542872055,13,0,0
6,1542872177,10,0,3
6,1542872299,7,0,3
6,1542872420,7,0,0
6,1542872542,7,0,0
6,1542872664,1,0,6
6,1542872785,1,0,0
6,1542872907,0,0,1
6,1542873029,0,0,0
6,1542873150,0,0,0
6,1542873272,0,0,0
6,1542873394,9,9,0
6,1542873427,13,4,0
6,1542873494,15,3,1
6,1542873506,15,0,0
6,1542873552,16,1,0
6,1542873625,23,7,0
6,1542873668,23,0,0
6,1542873695,26,3,0
6,1542873832,26,0,0
6,1542873963,30,4,0
6,1542874007,30,0,0
6,1542874049,40,10,0
6,1542874096,42,2,0
6,1542874142,42,0,0
6,1542874245,42,0,0
6,1542874292,41,1,2
6,1542874494,44,6,3
6,1542874626,45,1,0
6,1542874728,38,3,10
6,1542874840,37,5,6
6,1542874927,32,1,6
6,1542875039,32,3,3
6,1542875134,32,1,1
6,1542875199,28,1,5
6,1542875301,26,0,2
6,1542875493,26,0,0
6,1542875804,25,0,1
6,1542876254,25,0,0
6,1542876355,25,0,0
6,1542876406,25,0,0
6,1542876436,25,0,0
6,1542876458,25,0,0
6,1542876499,21,0,4
6,1542876551,21,0,0
6,1542876631,14,0,7
6,1542876696,14,0,0
6,1542876752,14,0,0
6,1542876789,14,0,0
6,1542876889,14,0,0
6,1542876950,13,0,1
6,1542876999,13,0,0
6,1542877034,12,0,1
6,1542877332,4,0,8
6,1542877396,0,0,4
6,1542877468,6,6,0
6,1542877541,9,3,0
6,1542877614,10,2,1
6,1542877687,10,0,0
6,1542877760,10,0,0
6,1542877833,11,1,0
6,1542877906,12,1,0
6,1542877979,16,4,0
6,1542878052,15,0,1
6,1542878125,15,0,0
6,1542878198,15,0,0
6,1542878271,14,1,2
6,1542878344,12,0,2
6,1542878417,13,1,0
6,1542878490,13,0,0
6,1542878563,12,1,2
6,1542878636,12,0,0
6,1542878709,12,0,0
6,1542878782,9,0,3
6,1542878855,7,0,2
6,1542878928,7,2,2
6,1542879001,7,1,1
6,1542879074,6,0,1
6,1542879147,7,1,0
6,1542879220,7,3,3
6,1542879293,8,1,0
6,1542879366,8,1,1
6,1542879439,7,0,1
6,1542879512,6,0,1
6,1542879585,5,0,1
6,1542879658,4,0,1
6,1542879731,4,0,0
6,1542879804,4,0,0
6,1542879877,4,0,0
6,1542879950,1,0,3
6,1542880023,1,0,0
6,1542880096,1,0,0
6,1542880169,0,0,1
6,1542880242,0,0,0
6,1542880315,0,0,0
6,1542880388,0,0,0
6,1542880461,0,0,0
6,1542880534,0,0,0
6,1542880607,5,5,0
6,1542880651,5,0,0
6,1542880674,5,1,1
6,1542880719,5,0,0
6,1542880756,5,0,0
6,1542880804,6,1,0
6,1542880839,8,2,0
6,1542880896,7,0,1
6,1542880977,8,1,0
6,1542881109,8,0,0
6,1542881123,8,0,0
6,1542881155,11,3,0
6,1542881248,11,0,0
6,1542881263,11,0,0
6,1542881319,13,3,1
6,1542881382,12,0,1
6,1542881719,18,8,2
6,1542881870,19,1,0
6,1542881960,19,1,1
6,1542882041,23,4,0
6,1542882159,22,4,5
6,1542882275,26,4,0
6,1542882333,27,3,2
6,1542882394,26,1,2
6,1542882514,27,4,3
6,1542882573,28,1,0
6,1542882637,30,2,0
6,1542882690,29,1,2
6,1542882877,26,1,4
6,1542882955,26,0,0
6,1542882983,26,0,0
6,1542883000,26,0,0
6,1542883052,26,0,0
6,1542883071,26,0,0
6,1542883148,26,0,0
6,1542883187,26,0,0
6,1542883242,26,0,0
6,1542883275,26,0,0
6,1542883372,26,0,0
6,1542883426,25,0,1
6,1542883446,25,0,0
6,1542883514,25,0,0
6,1542883822,4,0,21
6,1542883924,0,0,4
6,1542884015,2,2,0
6,1542884107,11,9,0
6,1542884198,11,0,0
6,1542884290,11,0,0
6,1542884381,11,0,0
6,1542884473,12,1,0
6,1542884565,12,0,0
6,1542884656,12,0,0
6,1542884748,12,0,0
6,1542884839,13,1,0
6,1542884931,13,0,0
6,1542885023,20,7,0
6,1542885114,21,1,0
6,1542885206,21,0,0
6,1542885297,21,0,0
6,1542885389,22,1,0
6,1542885481,25,4,1
6,1542885572,31,7,1
6,1542885664,25,0,6
6,1542885755,29,5,1
6,1542885847,28,1,2
6,1542885939,32,4,0
6,1542886030,31,1,2
6,1542886122,30,0,1
6,1542886213,15,2,17
6,1542886305,16,1,0
6,1542886396,15,0,1
6,1542886488,12,0,3
6,1542886580,12,1,1
6,1542886671,11,0,1
6,1542886763,10,0,1
6,1542886854,10,0,0
6,1542886946,9,0,1
6,1542887038,9,0,0
6,1542887129,6,0,3
